retroID,yearID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
tonef101,1919,13,6,24,20,14,4,1,543,157,37,6,35,40,0.23,1.84,0,1,2,1,718,3,47,0,0,0
tuero101,1919,5,7,45,17,4,0,4,464,137,55,4,42,45,0.24,3.2,0,5,10,1,630,20,71,0,0,0
tylel101,1919,2,2,6,5,3,0,0,90,20,7,0,13,9,0.19,2.1,0,0,0,0,119,0,8,0,0,0
uhleg101,1919,10,5,26,12,7,1,0,381,129,41,1,43,50,0.26,2.91,0,0,7,0,554,11,52,0,0,0
vange101,1919,1,0,3,1,1,0,0,39,15,3,0,3,6,0.3,2.08,0,1,0,1,52,2,4,0,0,0
vaugh101,1919,21,14,38,37,25,4,1,920,264,61,3,62,141,0.23,1.79,0,5,6,0,1224,1,83,0,0,0
watsm102,1919,2,4,8,4,3,0,0,141,51,27,3,19,12,0.28,5.17,0,2,2,0,210,2,30,0,0,0
watsm103,1919,0,1,4,2,0,0,0,43,17,11,2,7,6,0.3,6.91,0,1,0,1,62,2,11,0,0,0
weavh101,1919,0,1,2,1,0,0,0,10,6,4,0,2,1,0.37,10.8,0,0,1,0,19,1,7,0,0,0
weilc101,1919,10,6,20,20,12,3,0,444,133,34,3,45,44,0.24,2.07,0,2,3,0,593,0,51,0,0,0
weinl101,1919,0,0,1,0,0,0,0,12,11,8,0,2,0,0.47,18,0,0,0,0,25,1,9,0,0,0
whitc102,1919,0,1,6,1,0,0,0,36,13,6,1,6,5,0.28,4.5,0,0,0,0,52,3,7,0,0,0
wilkr101,1919,1,1,4,1,1,1,0,66,21,5,0,10,5,0.26,2.05,0,0,0,0,89,3,9,0,0,0
willl104,1919,23,11,41,40,27,5,1,891,265,87,7,58,125,0.24,2.64,0,0,11,0,1155,1,104,0,0,0
winng101,1919,0,0,3,0,0,0,0,14,6,4,0,1,0,0.35,7.71,0,0,0,0,18,2,4,0,0,0
wintj101,1919,1,2,16,2,0,0,3,84,39,17,1,13,6,0.33,5.46,0,0,3,0,134,11,18,0,0,0
