retroID,BAOpp,ERA,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
serra001,0.25,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0
serrj001,0.28,4.68,1,2,10,5,0,0,0,98,35,17,5,12,25,0,2,1,0,141,2,17,0,3,3
serrw001,0.313,6.56,3,3,20,5,0,0,0,140,60,34,7,21,39,1,6,2,1,222,8,37,5,2,3
serug101,0.296,5.0267,10,12,62,28,6,1,1,813,303,142,28,74,125,5,7,5,3,1158,13,146,17,9,28
servs001,0.3008,6.178,20,22,338,1,0,0,16,1249,435,231,56,182,413,28,25,26,1,1853,101,245,21,25,26
settm101,0.34,5.47,0,6,30,9,0,0,0,247,116,50,2,34,12,0,1,6,1,396,11,62,0,0,0
sevea001,0.278,3.86,1,0,6,0,0,0,0,14,5,2,1,1,7,0,0,0,0,19,0,2,0,0,1
sevea101,0.2217,2.7633,3,7,88,0,0,0,9,333,104,38,7,47,53,13,7,4,1,475,41,44,9,4,0
sevel001,0.2192,3.318,42,26,99,88,1,1,0,1590,460,204,60,150,589,1,19,17,1,2178,3,220,4,4,39
sewaf101,0.31,4.2,3,3,26,8,3,0,0,262,110,50,8,37,18,0,4,2,2,402,9,54,0,0,0
sewap001,0.2523,5.0667,1,14,120,0,0,0,3,424,138,81,19,47,149,4,4,5,1,608,27,85,6,7,10
sewer101,0.2646,4.2562,143,97,390,243,137,20,15,6358,2101,819,116,748,636,0,30,23,2,9101,88,983,0,0,0
sexae101,0,13.5,0,0,2,0,0,0,0,2,0,1,0,2,0,0,0,0,0,4,1,1,0,0,0
seyfg101,0.37,0.615,0,1,5,1,0,0,0,29,13,1,0,3,1,1,1,0,0,44,0,2,0,0,0
shacb001,0.2365,4.795,2,0,63,0,0,0,0,138,39,21,6,19,32,1,4,8,1,198,14,22,0,1,3
shack001,0.318,6.29,0,1,31,0,0,0,0,116,43,23,6,17,45,1,2,4,0,176,8,24,0,3,4
shafj001,0.2295,3.55,2,1,40,0,0,0,1,144,47,20,7,32,41,4,1,2,0,221,12,23,1,0,3
shanb102,0.2437,3.5063,119,99,537,171,78,15,48,5807,1795,726,151,643,1072,53,29,41,6,8045,192,817,0,0,0
shanb103,0.35,6.75,0,0,1,0,0,0,0,12,6,3,2,1,1,0,0,0,0,18,1,4,0,0,0
shang101,0.2445,3.655,0,0,11,0,0,0,1,68,21,9,3,9,13,0,1,0,0,100,6,9,2,1,0
shanh102,0.182,0,0,0,1,0,0,0,0,9,2,0,0,2,1,0,0,0,0,13,0,0,0,0,0
sharj001,0.2715,6.98,0,1,20,0,0,0,0,49,14,8,3,12,8,1,2,0,0,74,5,8,2,1,0
shauj101,0.2969,6.2185,99,109,360,208,103,5,18,5455,2097,838,75,534,512,0,34,24,3,7928,102,1043,0,0,0
shavj001,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,4,1,0,1,0,0
shawb001,0.2512,3.6533,30,36,606,0,0,0,12,1719,536,234,58,208,510,19,31,20,2,2423,130,268,19,12,66
shawb102,0.2567,3.3789,126,94,311,211,121,18,18,5622,1808,697,97,657,910,0,29,28,1,7856,68,815,0,0,0
shawb103,0.278,4.2907,108,98,430,223,55,14,32,5334,1837,696,149,511,880,68,51,56,12,7587,101,791,0,0,0
